,Name,Publisher,Year_of_Release,Game_Age,Genre,Platform,Platform_Launch_Year,Game_released_xYears_after_Platform,Platform_Death,Years_since_Platform_Discontinued,Platform_Lifespan,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3630,NHL 14,Electronic Arts,2013,3,Sports,PS3,2006,7,2016,0,10,0.28,0.17,0.0,0.09,0.54
3631,F1 2013,Codemasters,2013,3,Racing,PS3,2006,7,2016,0,10,0.01,0.42,0.03,0.09,0.54
3632,FIFA Soccer 07,Electronic Arts,2006,10,Sports,XB,2001,5,2009,7,8,0.16,0.35,0.0,0.04,0.54
3633,Gekikuukan Pro Yakyuu: At the End of the Century 1999,Other,2000,16,Sports,PS2,2000,0,2013,3,13,0.0,0.0,0.54,0.0,0.54
3634,Legends of WrestleMania,THQ,2009,7,Fighting,PS3,2006,3,2016,0,10,0.3,0.16,0.0,0.07,0.54
3635,Are You Smarter than a 5th Grader? Make the Grade,THQ,2008,8,Misc,Wii,2006,2,2016,0,10,0.5,0.0,0.0,0.04,0.54
3636,Tiger Woods PGA Tour 08,Electronic Arts,2007,9,Sports,X360,2005,2,2016,0,11,0.49,0.02,0.0,0.04,0.54
3637,Medarot 2: Kabuto / Kuwagata Version,Other,1999,17,Role-Playing,GB,1989,10,2003,13,14,0.0,0.0,0.54,0.0,0.54
3638,Dance Dance Revolution Ultramix,Konami Digital Entertainment,2003,13,Simulation,XB,2001,2,2009,7,8,0.42,0.11,0.0,0.02,0.54
3639,Crash Tag Team Racing,Vivendi Games,2005,11,Racing,PS2,2000,5,2013,3,13,0.27,0.21,0.0,0.07,0.54
3640,Front Mission 4,Square Enix,2003,13,Strategy,PS2,2000,3,2013,3,13,0.14,0.11,0.25,0.04,0.54
3641,The Fairly Odd Parents: Breakin' Da Rules,THQ,2003,13,Platform,GBA,2001,2,2010,6,9,0.39,0.14,0.0,0.01,0.54
3642,Rayman Origins,Ubisoft,2012,4,Platform,PSV,2011,1,2016,0,5,0.12,0.33,0.0,0.09,0.54
3643,Ninokuni: Shikkoku no Madoushi,Other,2010,6,Role-Playing,DS,2004,6,2013,3,9,0.0,0.0,0.54,0.0,0.54
3644,F.E.A.R.,Vivendi Games,2007,9,Shooter,PS3,2006,1,2016,0,10,0.18,0.26,0.0,0.1,0.54
3645,Enslaved: Odyssey to the West,Namco Bandai Games,2010,6,Action,X360,2005,5,2016,0,11,0.3,0.19,0.0,0.05,0.54
3646,SRS: Street Racing Syndicate,Namco Bandai Games,2004,12,Racing,PS2,2000,4,2013,3,13,0.26,0.21,0.0,0.07,0.54
3647,Dragon Ball Z: Shin Budokai,Atari,2006,10,Fighting,PSP,2004,2,2014,2,10,0.26,0.08,0.13,0.07,0.54
3648,Tiger Woods PGA Tour 13,Electronic Arts,2012,4,Sports,PS3,2006,6,2016,0,10,0.24,0.21,0.0,0.08,0.54
3649,Dynasty Warriors: Gundam 3,Tecmo Koei,2010,6,Action,PS3,2006,4,2016,0,10,0.11,0.04,0.36,0.02,0.54
3650,Action Force,Other,1982,34,Action,2600,1977,5,1992,24,15,0.5,0.03,0.0,0.01,0.54
3651,FIFA 99,Electronic Arts,1998,18,Sports,N64,1996,2,2002,14,6,0.11,0.39,0.0,0.03,0.54
3652,Gauntlet Legends,Midway Games,1999,17,Action,N64,1996,3,2002,14,6,0.43,0.1,0.0,0.01,0.54
3653,Kidou Senshi Gundam: Extreme VS,Namco Bandai Games,2011,5,Fighting,PS3,2006,5,2016,0,10,0.0,0.0,0.54,0.0,0.54
3654,System 3 presents Ferrari Challenge Trofeo Pirelli,Other,2008,8,Racing,Wii,2006,2,2016,0,10,0.07,0.4,0.0,0.07,0.54
3655,Tony Hawk: Shred,Activision,2010,6,Sports,Wii,2006,4,2016,0,10,0.39,0.11,0.0,0.04,0.54
3656,Tiger Woods PGA Tour 11,Electronic Arts,2010,6,Sports,Wii,2006,4,2016,0,10,0.23,0.25,0.0,0.06,0.54
3657,NBA Live 10,Electronic Arts,2009,7,Sports,PS3,2006,3,2016,0,10,0.46,0.02,0.01,0.05,0.54
3658,Metro 2033,THQ,2010,6,Shooter,X360,2005,5,2016,0,11,0.22,0.23,0.03,0.05,0.54
3659,Bust A Groove,Sony Computer Entertainment,1998,18,Misc,PS,1994,4,2000,16,6,0.09,0.06,0.35,0.04,0.54
3660,Fire Emblem: Path of Radiance,Nintendo,2005,11,Action,GC,2001,4,2007,9,6,0.29,0.08,0.16,0.01,0.54
3661,Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,Other,2002,14,Role-Playing,PS2,2000,2,2013,3,13,0.0,0.0,0.54,0.0,0.54
3662,Hotel Dusk: Room 215,Nintendo,2007,9,Adventure,DS,2004,3,2013,3,9,0.26,0.04,0.22,0.03,0.54
3663,Final Fantasy Explorers,Square Enix,2014,2,Role-Playing,3DS,2011,3,2016,0,5,0.16,0.07,0.28,0.02,0.54
3664,Pachi-Slot Aruze Oukoku 2,Other,1999,17,Misc,PS,1994,5,2000,16,6,0.0,0.0,0.5,0.04,0.54
3665,Bratz: Rock Angelz,THQ,2004,12,Misc,GBA,2001,3,2010,6,9,0.39,0.14,0.0,0.01,0.54
3666,SSX Tricky,Electronic Arts,2001,15,Sports,GC,2001,0,2007,9,6,0.42,0.11,0.0,0.01,0.54
3667,Greg Hastings' Tournament Paintball,Activision,2004,12,Shooter,XB,2001,3,2009,7,8,0.46,0.06,0.0,0.02,0.54
